capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,36,4,8,3,0.5034722222222222,0.0005104749964084476,0.825,0.056134259259259245,167,1600
0.7,0.0,1.0,36,4,8,4,0.43402777777777773,0.0005645084068964934,0.95,0.03308256172839506,149,1600
0.7,0.0,1.0,36,4,8,5,0.4791666666666667,-0.004277821787472931,0.85,0.03632973251028806,143,1600
0.7,0.0,1.0,37,8,16,1,0.40625,-0.0018894825884490274,0.9,0.03565457818930042,183,1600
0.7,0.0,1.0,37,8,16,2,0.40625,0.00039806495857192204,0.875,0.027809927983539092,172,1600
0.7,0.0,1.0,37,8,16,3,0.4618055555555556,0.0014650596888532163,0.85,0.052758487654320986,167,1600
0.7,0.0,1.0,37,8,16,4,0.4201388888888889,0.0020861853150563547,0.95,0.02970679012345678,149,1600
0.7,0.0,1.0,37,8,16,5,0.4756944444444444,-0.003194334896033979,0.875,0.03594393004115226,143,1600
0.7,0.0,1.0,38,3,6,1,0.4131944444444444,-0.0005002950786729344,0.875,0.03025334362139918,183,1600
0.7,0.0,1.0,38,3,6,2,0.423611111111111,-0.0034862949539092368,0.875,0.030124742798353903,172,1600
0.7,0.0,1.0,38,3,6,3,0.4930555555555555,-8.63263424980687e-05,0.775,0.05806327160493827,167,1600
0.7,0.0,1.0,38,3,6,4,0.4375,-0.0021552934851933967,0.9,0.03530092592592592,149,1600
0.7,0.0,1.0,38,3,6,5,0.4826388888888889,-0.005885289678772097,0.9,0.03613683127572016,143,1600
0.7,0.0,1.0,39,5,10,1,0.40277777777777785,0.0010609453022334492,0.875,0.03227880658436214,183,1600
0.7,0.0,1.0,39,5,10,2,0.44097222222222215,-0.0018267085924890125,0.85,0.03456147119341564,172,1600
0.7,0.0,1.0,39,5,10,3,0.5000000000000001,-0.0018546495991176926,0.85,0.058352623456790126,167,1600
0.7,0.0,1.0,39,5,10,4,0.4166666666666667,-0.0010657687214552425,0.9,0.02768132716049383,149,1600
0.7,0.0,1.0,39,5,10,5,0.47916666666666674,-0.004816595566371689,0.9,0.03874099794238683,143,1600
0.7,0.0,1.0,40,5,10,1,0.3819444444444445,-0.0002637943722220371,0.875,0.027359825102880656,183,1600
0.7,0.0,1.0,40,5,10,2,0.44097222222222227,-0.0003815372849203413,0.85,0.036490483539094655,172,1600
0.7,0.0,1.0,40,5,10,3,0.454861111111111,-2.57430445344653e-05,0.9,0.04533179012345679,167,1600
0.7,0.0,1.0,40,5,10,4,0.4791666666666667,-0.0018384447712742258,0.875,0.04552469135802469,149,1600
0.7,0.0,1.0,40,5,10,5,0.4756944444444445,0.00020542944490443916,0.9,0.036908436213991765,143,1600
0.7,0.0,1.0,41,6,12,1,0.40277777777777773,-0.0035267550533171744,0.875,0.03160365226337448,183,1600
0.7,0.0,1.0,41,6,12,2,0.4201388888888889,-0.0007867688071564772,0.825,0.03012474279835391,172,1600
0.7,0.0,1.0,41,6,12,3,0.47222222222222227,0.0017335383236058988,0.8,0.05054012345679012,167,1600
0.7,0.0,1.0,41,6,12,4,0.4166666666666667,-0.0011056839362572645,0.9,0.0316358024691358,149,1600
0.7,0.0,1.0,41,6,12,5,0.46527777777777773,-0.0017059939311729977,0.875,0.03845164609053498,143,1600
0.7,0.0,1.0,42,3,6,1,0.4131944444444444,-0.002782353606307879,0.875,0.03189300411522634,183,1600
0.7,0.0,1.0,42,3,6,2,0.4583333333333333,-0.0009644610388204456,0.825,0.044013631687242795,172,1600
0.7,0.0,1.0,42,3,6,3,0.5034722222222222,-0.0009612886493414408,0.8,0.06298225308641975,167,1600
0.7,0.0,1.0,42,3,6,4,0.42708333333333326,-0.0006388877974677598,0.875,0.029706790123456787,149,1600
0.7,0.0,1.0,42,3,6,5,0.48958333333333326,-0.003554831987203215,0.9,0.04144161522633744,143,1600
0.7,0.0,1.0,43,4,8,1,0.40277777777777773,0.0018364148924592883,0.875,0.02890303497942386,183,1600
0.7,0.0,1.0,43,4,8,2,0.44097222222222227,-0.0005914581638353411,0.875,0.03369341563786009,172,1600
0.7,0.0,1.0,43,4,8,3,0.48611111111111116,0.002158369726021192,0.8,0.05555555555555556,167,1600
0.7,0.0,1.0,43,4,8,4,0.42013888888888884,0.0010499593636632198,0.9,0.030478395061728388,149,1600
0.7,0.0,1.0,43,4,8,5,0.47222222222222227,-0.0036050141517625887,0.9,0.037004886831275716,143,1600
